Date,GHI_daily_mean,DNI_daily_mean,DHI_daily_mean
2022-01-24,262.70104166666664,308.47534722222224,58.26333333333333
2022-01-25,257.0365972222222,266.44444444444446,76.83993055555555
2022-01-26,266.8340972222222,308.5047222222222,63.75486111111111
2022-01-27,247.52180555555557,241.99902777777777,81.18291666666666
2022-01-28,176.66299270072992,40.87992700729927,147.11306569343066
2022-01-29,228.5,89.45972222222223,159.2282638888889
2022-01-30,267.32381944444444,256.6127777777778,89.61701388888889
2022-01-31,275.12654621264767,290.5794996525365,75.32508686587909
2022-02-01,274.8615277777778,261.76951388888887,93.43034722222222
2022-02-02,149.4249790444258,205.89597652975692,44.968147527242245
2022-02-03,268.3097222222222,191.41131944444444,130.3947222222222
2022-02-04,252.70388888888888,165.76791666666665,129.6029861111111
2022-02-05,240.74277777777777,138.113125,137.58444444444444
